Language,Family,ISO 639-3,Reference,Nucleus,Diphthongs,Relevant spelling conventions,Affixes,Allomorphs,Type,Syllables,Segments,,,,
,,,,,,,p-,1,P,0,1,,,,
,,,,,,, -pi,1,S,1,2,,,,
,,,,,,, -sa,1,S,1,2,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,, -ti,1,S,1,2,,,,
,,,,,,, -tu,1,S,1,2,,,,
,,,,,,, -tu,1,S,1,2,,,,
,,,,,,, -va,1,S,1,2,,,,
,,,,,,, -vi ,1,S,1,2,,,,
,,,,,,, -vigni,1,S,2,4,,,,
,,,,,,,z-,1,P,0,1,,,,
,,,,,,, -zu,1,S,1,2,,,,
Mangghuer,Mongolic-Khitan,mjg (closest relative),Slater (2003: 367-372),V (55),"none (32, 61)","gh, kh, ch, zh, sh, ng = monosegmental",,1,,,,,,,
,,,,,,," -a, -ya, -wa",3,S,1,1.7,,,,
,,,,,,, -ang,1,S,1,2,,,,
,,,,,,, -ba,1,S,1,2,,,,
,,,,,,, -bu,1,S,1,2,,,,
,,,,,,, -da,1,S,1,2,,,,
,,,,,,, -der,1,S,1,3,,,,
,,,,,,, -ge,1,S,1,1,,,,
,,,,,,, -ge,1,S,1,1,,,,
,,,,,,, -ge,1,S,1,1,,,,
,,,,,,, -gha,1,S,1,2,,,,
,,,,,,, -her,1,S,1,3,,,,
,,,,,,, -ji,1,S,1,2,,,,
,,,,,,, -ji,1,S,1,2,,,,
,,,,,,, -jiang,1,S,2,4,,,,
,,,,,,, -jinu,1,S,2,4,,,,
,,,,,,, -ke,1,S,1,2,,,,
,,,,,,, -ku,1,S,1,2,,,,
,,,,,,, -kuer,1,S,2,4,,,,
,,,,,,, -kunang,1,S,2,5,,,,
,,,,,,, -ku(ni),2,S,1.5,3,,,,
,,,,,,, -kuniang,1,S,3,6,,,,
,,,,,,, -kuninu,1,S,3,6,,,,
,,,,,,, -la,1,S,1,1,,,,
,,,,,,, -la,1,S,1,1,,,,
,,,,,,, -la,1,S,1,1,,,,
,,,,,,, -lang,1,S,1,3,,,,
,,,,,,, -leinu,1,S,3,5,,,,
,,,,,,, -li,1,S,2,2,,,,
,,,,,,, -lie,1,S,2,3,,,,
,,,,,,, -luo,1,S,2,3,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -nu,1,S,1,2,,,,
,,,,,,, -pao,1,S,2,3,,,,
,,,,,,, -qin,1,S,1,3,,,,
,,,,,,, -ra,1,S,1,2,,,,
,,,,,,, -sang,1,S,1,3,,,,
,,,,,,, -sang(ni),2,S,1.5,4,,,,
,,,,,,, -ser,1,S,1,3,,,,
,,,,,,, -tala,1,S,2,4,,,,
,,,,,,, -tiao,1,S,3,4,,,,
,,,,,,, -tu,1,S,1,2,,,,
,,,,,, , -tula,1,S,2,4,,,,
,,,,,,, -wa,1,S,1,2,,,,
,,,,,,, -ya,1,S,1,2,,,,
,,,,,,, -zhang,1,S,1,3,,,,
,,,,,,, -zhuan,1,S,2,4,,,,
Ik,Kuliak,ikx,Schrock (2014: xxv-xxvi),V (58),"unclear, but in any case only found root-initially (50)","ts, ts', dz, tl', ɬ, lʒ, hy = monosegmental",,,,,,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -aák,1,S,2,3,,,,
,,,,,,, -amá,1,S,2,3,,,,
,,,,,,, -án,1,S,1,2,,,,
,,,,,,, -aní,1,S,2,3,,,,
,,,,,,, -anó,1,S,2,3,,,,
,,,,,,, -ásí,1,S,2,3,,,,
,,,,,,, -áti,1,S,2,3,,,,
,,,,,,, -ɔ,1,S,1,1,,,,
,,,,,,, -ɔ,1,S,1,1,,,,
,,,,,,, -ɔnɪ,1,S,2,3,,,,
,,,,,,,  -ɔ́sí,1,S,2,3,,,,
,,,,,,, -ɛ,1,S,1,1,,,,
,,,,,,, -ɛdɛ,1,S,2,3,,,,
,,,,,,, -ɛ́s,1,S,1,2,,,,
,,,,,,, -ɛ́s,1,S,1,2,,,,
,,,,,,, -ɛ́sɛ́,1,S,2,3,,,,
,,,,,,, -ɛ́sí,1,S,2,3,,,,
,,,,,,, -ɛt,1,S,1,2,,,,
,,,,,,, -ɛt,1,S,1,2,,,,
,,,,,,, -ɛ́,1,S,1,1,,,,
,,,,,,, -ɪ,1,S,1,1,,,,
,,,,,,, -í,1,S,1,1,,,,
,,,,,,, -ɪá,1,S,2,2,,,,
,,,,,,, -íɔ́,1,S,2,2,,,,
,,,,,,, -ídɪ,1,S,2,3,,,,
,,,,,,, -íí,1,S,2,2,,,,
,,,,,,, -ɪk,1,S,1,2,,,,
,,,,,,, -ɪka,1,S,2,3,,,,
,,,,,,, -íkó,1,S,2,3,,,,
,,,,,,, -ím,1,S,1,2,,,,
,,,,,,, -ɪmá,1,S,2,3,,,,
,,,,,,, -ɪmá,1,S,2,3,,,,
,,,,,,, -ímí,1,S,2,3,,,,
,,,,,,, -ínɔ́sí,1,S,3,5,,,,
,,,,,,, -inɛ́,1,S,2,3,,,,
,,,,,,, -ɪnɪ,1,S,2,3,,,,
,,,,,,, -ɪnɪ,1,S,2,3,,,,
,,,,,,, -ísínɪ,1,S,3,5,,,,
,,,,,,, -ɪt,1,S,1,2,,,,
,,,,,,, -ítí,1,S,2,3,,,,
,,,,,,, -ítíní,1,S,3,5,,,,
,,,,,,, -ka,1,S,1,2,,,,
,,,,,,, -kɔ,1,S,1,2,,,,
,,,,,,, -kɔ,1,S,1,2,,,,
,,,,,,, -kɛ,1,S,1,2,,,,
,,,,,,, -kɛ,1,S,1,2,,,,
,,,,,,, -nanesi,1,S,3,6,,,,
,,,,,,, -ʊƙɔtí,1,S,3,5,,,,
,,,,,,, -ʊƙɔtí,1,S,3,5,,,,
,,,,,,, -V́d,1,S,1,2,,,,
,,,,,,, -VƙV,1,S,2,3,,,,
,,,,,,, -V́m,1,S,1,2,,,,
,,,,,,, -V́m,1,S,1,2,,,,
,,,,,,, -Vma,1,S,2,3,,,,
,,,,,,, -'ka,1,S,1,2,,,,
Hup,Naduhup,jup,Epps (2008: 928-934),V (78-9) -- not explicitly claimed but can safely be inferred,"none (42, 79)",none,,1,,,,,,,
,,,,,,, -an,1,S,1,2,,,,
,,,,,,, -ăn,1,S,1,2,,,,
,,,,,,, -ănd'əh,1,S,2,6,,,,
,,,,,,, -áh,1,S,1,2,,,,
,,,,,,, -ay,1,S,1,2,,,,
,,,,,,, -Vcáp,1,S,2,4,,,,
,,,,,,," -cɨ̃p, -cɨ̃w",2,S,1,3,,,,
,,,,,,, -d'ăh,1,S,1,4,,,,
,,,,,,, -Vhə́ʔ,1,S,2,4,,,,
,,,,,,,hi-,1,P,1,2,,,,
,,,,,,, -hɔ̃(h),2,S,1,2.5,,,,
,,,,,,,hup-,1,P,1,3,,,,
,,,,,,, -kamí,1,S,2,4,,,,
,,,,,,, -kæ̆m,1,S,1,4,,,,
,,,,,,, -kéʔ,1,S,1,3,,,,
,,,,,,, -kəd,1,S,1,3,,,,
,,,,,,, -kə́d,1,S,1,3,,,,
,,,,,,, -kodé,1,S,2,4,,,,
,,,,,,, -mah,1,S,1,3,,,,
,,,,,,, -mæh,1,S,1,3,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -nɨ́h,1,S,1,3,,,,
,,,,,,, -n'ɨ̆h,1,S,1,4,,,,
,,,,,,, -nɨ̆ŋ,1,S,1,3,,,,
,,,,,,," -pog, -po, -wog, -wo",4,S,1,2.5,,,,
,,,,,,, -tæ̆n,1,S,1,3,,,,
,,,,,,, -tæ̃ʔ,1,S,1,3,,,,
,,,,,,, -teg,1,S,1,3,,,,
,,,,,,, -te,1,S,1,2,,,,
,,,,,,, -Vtiʔ,1,S,2,4,,,,
,,,,,,," -tuk, -tu",2,S,1,2.5,,,,
,,,,,,, -Vyá,1,S,2,3,,,,
,,,,,,, -yæ̃h,1,S,1,3,,,,
,,,,,,, -yɨ̃ʔ,1,S,1,3,,,,
,,,,,,, -yóʔ,1,S,1,3,,,,
,,,,,,, -ʔay,1,S,1,3,,,,
,,,,,,," -ʔeʔ, -ʔe",2,S,1,2.5,,,,
,,,,,,, -ʔeʔ,1,S,1,3,,,,
,,,,,,, -Vʔɨ̆h,1,S,2,4,,,,
,,,,,,,ʔũh-,1,P,1,3,,,,
,,,,,,, -ʔũh,1,S,1,3,,,,
,,,,,,, -ʔú̃h,1,S,1,3,,,,
,,,,,,, -V́h,1,S,1,2,,,,
,,,,,,, -Vp,1,S,1,2,,,,
,,,,,,, -V́t,1,S,1,2,,,,
,,,,,,, -Vw,1,S,1,2,,,,
,,,,,,, -V́y,1,S,1,2,,,,
,,,,,,, -Vyɨ́k,1,S,2,4,,,,
,,,,,,, -Vʔ,1,S,1,2,,,,
Iatmul,Ndu,ian,Jendraschek (2012: 552-556),V (74),"ai, aai, au, aau, ou, ɨi","a', â', aa, i', uu, ch, k', kk, n', ny, p', tt = monosegmental",,,,,,,,,
,,,,,,," -li', -ti', -a",3,S,1,1.7,,,,
,,,,,,," -li', -ti'",2,S,1,2,,,,
,,,,,,, -(n)a,2,S,1,1.5,,,,
,,,,,,, -ak,1,S,1,2,,,,
,,,,,,, -ba,1,S,1,2,,,,
,,,,,,, -kak,1,S,1,3,,,,
,,,,,,, -nala,1,S,2,4,,,,
,,,,,,, -o,1,S,1,1,,,,
,,,,,,, -okwi,1,S,2,4,,,,
,,,,,,, -budi',1,S,2,4,,,,
,,,,,,, -da,1,S,1,2,,,,
,,,,,,, -ge,1,S,1,2,,,,
,,,,,,, -ki,1,S,1,2,,,,
,,,,,,, -klai,1,S,1,3,,,,
,,,,,,,kV-,1,P,1,2,,,,
,,,,,,,lV-,1,P,1,2,,,,
,,,,,,, -mi'na,1,S,2,4,,,,
,,,,,,, -pmâ,1,S,1,3,,,,
,,,,,,,sV-,1,P,1,2,,,,
,,,,,,, -tapman,1,S,2,6,,,,
,,,,,,, -vla,1,S,1,3,,,,
,,,,,,,vV-,1,P,1,2,,,,
,,,,,,, -da,1,S,1,2,,,,
,,,,,,, -ge,1,S,1,2,,,,
,,,,,,, -ula,1,S,2,3,,,,
,,,,,,, -vali,1,S,2,4,,,,
,,,,,,, -waaku,1,S,2,4,,,,
,,,,,,, -wak,1,S,1,3,,,,
,,,,,,, -saaku,1,S,2,4,,,,
,,,,,,, -sada,1,S,2,4,,,,
,,,,,,, -sage,1,S,2,4,,,,
,,,,,,," -seli, -sala",2,S,2,4,,,,
,,,,,,, -so,1,S,1,2,,,,
,,,,,,, -sola,1,S,2,4,,,,
,,,,,,, -gi'li',1,S,2,4,,,,
,,,,,,, -jibu,1,S,2,4,,,,
,,,,,,, -ki'va,1,S,2,4,,,,
,,,,,,, -tabi',1,S,2,4,,,,
,,,,,,, -tavi,1,S,2,4,,,,
,,,,,,, -si'bla,1,S,2,5,,,,
,,,,,,, -si'ki'k,1,S,2,5,,,,
,,,,,,, -vwali,1,S,2,5,,,,
,,,,,,, -yaki,1,S,2,4,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -aya,1,S,2,3,,,,
,,,,,,, -o,1,S,1,1,,,,
,,,,,,, -k,1,S,0,1,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,, -du,1,S,1,2,,,,
,,,,,,, -gu,1,S,1,2,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -aya,1,S,2,3,,,,
,,,,,,, -b,1,S,0,1,,,,
,,,,,,, -bi'k,1,S,1,3,,,,
,,,,,,, -d,1,S,0,1,,,,
,,,,,,, -di,1,S,1,2,,,,
,,,,,,, -guk,1,S,1,3,,,,
,,,,,,, -gw,1,S,0,2,,,,
,,,,,,, -j ,1,S,0,1,,,,
,,,,,,, -kak,1,S,1,3,,,,
,,,,,,, -l ,1,S,0,1,,,,
,,,,,,, -li,1,S,1,2,,,,
,,,,,,, -li,1,S,1,2,,,,
,,,,,,, -lu,1,S,1,2,,,,
,,,,,,, -m,1,S,0,1,,,,
,,,,,,, -mi'n,1,S,1,3,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,, -ni'n,1,S,0,3,,,,
,,,,,,, -ny,1,S,0,1,,,,
,,,,,,, -nyi'n,1,S,1,3,,,,
,,,,,,, -w,1,S,0,1,,,,
,,,,,,, -wun,1,S,1,3,,,,
,,,,,,, -ka,1,S,1,2,,,,
,,,,,,, -kakwi,1,S,2,5,,,,
,,,,,,, -laa,1,S,1,2,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,,a-,1,P,1,1,,,,
,,,,,,, -ay,1,S,1,2,,,,
,,,,,,, -ba,1,S,2,2,,,,
,,,,,,, -(k)a,2,S,1,1.5,,,,
,,,,,,, -(k)a,2,S,1,1.5,,,,
,,,,,,," -kiya, -ay",2,S,1.5,3,,,,
,,,,,,, -la ,1,S,1,2,,,,
,,,,,,, -li',1,S,1,2,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,, -vaak,1,S,1,3,,,,
Kenuzi-Dongola,Nubian,kzh,Abdel-Hafiz (1988: 316-317),V (20),none (19),none,,,,,,,,,
,,,,,,,a-,1,P,1,1,,,,
,,,,,,, -an,1,S,1,2,,,,
,,,,,,, -an,1,S,1,2,,,,
,,,,,,, -an(n),2,S,1,2.5,,,,
,,,,,,, -ar,1,S,1,2,,,,
,,,,,,, -(a)r,2,S,0.5,1.5,,,,
,,,,,,,bi-,1,P,1,2,,,,
,,,,,,, -bu:,1,S,1,2,,,,
,,,,,,, -de:n,1,S,1,3,,,,
,,,,,,, -do,1,S,1,2,,,,
,,,,,,, -el,1,S,1,2,,,,
,,,,,,, -ga,1,S,1,2,,,,
,,,,,,, -gen,1,S,1,3,,,,
,,,,,,, -gi ,1,S,1,2,,,,
,,,,,,, -go,1,S,1,2,,,,
,,,,,,, -go:n,1,S,1,3,,,,
,,,,,,, -gu,1,S,1,2,,,,
,,,,,,, -i,1,S,1,1,,,,
,,,,,,, -i,1,S,1,1,,,,
,,,,,,, -id,1,S,1,2,,,,
,,,,,,, -iddi,1,S,2,4,,,,
,,,,,,, -il,1,S,1,2,,,,
,,,,,,, -ir,1,S,1,2,,,,
,,,,,,, -ir,1,S,1,2,,,,
,,,,,,, -ka ,1,S,1,2,,,,
,,,,,,, -ke,1,S,1,2,,,,
,,,,,,, -ki,1,S,1,2,,,,
,,,,,,, -kiddi,1,S,2,5,,,,
,,,,,,, -kinny,1,S,1,5,,,,
,,,,,,, -kir,1,S,1,3,,,,
,,,,,,, -ko:,1,S,1,2,,,,
,,,,,,, -ma,1,S,1,2,,,,
,,,,,,, -me:(n),2,S,1,2.5,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,, -n(a),2,S,0.5,1.5,,,,
,,,,,,, -nu,1,S,1,2,,,,
,,,,,,, -o(s),2,S,1,1.5,,,,
,,,,,,, -r,1,S,0,1,,,,
,,,,,,, -re,1,S,1,2,,,,
,,,,,,, -r(o),2,S,0.5,1.5,,,,
,,,,,,, -s,1,S,0,1,,,,
,,,,,,, -takki,1,S,2,5,,,,
,,,,,,, -itti,1,S,2,4,,,,
,,,,,,, -tir,1,S,1,3,,,,
,,,,,,, -ti ,1,S,1,2,,,,
,,,,,,, -we,1,S,1,2,,,,
,,,,,,, -we:r,1,S,1,3,,,,
Yeri,Nuclear Torricelli,yev ,Wilson (2017: 667-674),V (65),"none, but non-committal (71)","y, w are glide allophones of high Vs",,,,,,,,,
,,,,,,, -p-,1,O,0,1,,,,
,,,,,,, -pa-,1,O,1,2,,,,
,,,,,,, -pe-,1,O,1,2,,,,
,,,,,,," -pa, -pɨ, -ba, -bo ",4,S,1,2,,,,
,,,,,,, -ha,1,S,1,2,,,,
,,,,,,, -ka,1,S,1,2,,,,
,,,,,,," -a, -e, -wa, -we",4,S,1,1.5,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,, , -ua,1,S,2,2,,,,
,,,,,,, -u,1,S,1,1,,,,
,,,,,,, -ha,1,S,1,2,,,,
,,,,,,, -he-,1,O,1,2,,,,
,,,,,,, -i,1,S,1,1,,,,
,,,,,,, -m-,1,O,0,1,,,,
,,,,,,, -ma-,1,O,1,2,,,,
,,,,,,, -me-,1,O,1,2,,,,
,,,,,,," -ma, -me, -mɨ",3,S,1,2,,,,
,,,,,,," -gal, -gɨl",2,S,1,3,,,,
,,,,,,,tɨ-,1,P,1,2,,,,
,,,,,,, -m,1,S,0,1,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,, -na,1,S,0,2,,,,
,,,,,,, -ne-,1,O,1,2,,,,
,,,,,,,b-,1,P,0,1,,,,
,,,,,,,w-,1,P,0,1,,,,
,,,,,,,y-,1,P,0,1,,,,
,,,,,,, -agia,1,S,3,4,,,,
,,,,,,, -aguei,1,S,4,5,,,,
,,,,,,, -(l)bia,2,S,2,3.5,,,,
,,,,,,, -ei,1,S,2,2,,,,
,,,,,,, -gi,1,S,1,2,,,,
,,,,,,, -hegal,1,S,2,5,,,,
,,,,,,, -hi-,1,O,1,2,,,,
,,,,,,, -i-,1,O,1,1,,,,
,,,,,,, -i,1,S,1,1,,,,
,,,,,,," -(e)gal, -gɨl",3,S,1.3,3.3,,,,
,,,,,,, -ia,1,S,2,2,,,,
,,,,,,, -l,1,S,0,1,,,,
,,,,,,, -m,1,S,0,1,,,,
,,,,,,, -megal,1,S,2,5,,,,
,,,,,,, -mi ,1,S,1,2,,,,
,,,,,,, -pegal,1,S,2,5,,,,
,,,,,,, -wɨl,1,S,1,3,,,,
,,,,,,," -(e)tɨ, -ta",3,S,1.3,2.3,,,,
,,,,,,, -l,1,S,0,1,,,,
,,,,,,, -l(a),2,S,0.5,1.5,,,,
,,,,,,,m-,1,P,0,1,,,,
,,,,,,,h-,1,P,0,1,,,,
,,,,,,,n-,1,P,0,1,,,,
,,,,,,,n-,1,P,0,1,,,,
,,,,,,,w-,1,P,0,1,,,,
,,,,,,,w-,1,P,0,1,,,,
,,,,,,,y-,1,P,0,1,,,,
,,,,,,,d-,1,P,0,1,,,,
,,,,,,, -ki,1,S,1,2,,,,
Nhanda,Pama-Nyungan,nha,Blevins (2001: 152-153),V (18),none mentioned,"th, dh, nh, lh, yh, rt, rn, rd, rl, ny, ly, ng = monosegmental",,,,,,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -ba,1,S,1,2,,,,
,,,,,,, -bagaa,1,S,2,4,,,,
,,,,,,, -bardu,1,S,2,4,,,,
,,,,,,, -barta,1,S,2,4,,,,
,,,,,,, -buraada,1,S,3,6,,,,
,,,,,,, -caa,1,S,1,2,,,,
,,,,,,, -cada,1,S,2,4,,,,
,,,,,,, -cadi,1,S,2,4,,,,
,,,,,,, -cu,1,S,1,2,,,,
,,,,,,, -ga,1,S,1,2,,,,
,,,,,,, -ganu,1,S,2,4,,,,
,,,,,,, -gayi,1,S,2,4,,,,
,,,,,,, -gurtku,1,S,2,5,,,,
,,,,,,, -i,1,S,1,1,,,,
,,,,,,, -jada,1,S,2,4,,,,
,,,,,,, -jada,1,S,2,4,,,,
,,,,,,, -jadi,1,S,2,4,,,,
,,,,,,, -jata,1,S,2,4,,,,
,,,,,,, -jati,1,S,2,4,,,,
,,,,,,, -ka,1,S,1,1,,,,
,,,,,,, -lada,1,S,2,4,,,,
,,,,,,, -lu,1,S,1,2,,,,
,,,,,,, -na,1,S,1,2,,,,
,,,,,,, -nda,1,S,1,3,,,,
,,,,,,, -nda,1,S,1,3,,,,
,,,,,,, -ndha,1,S,1,4,,,,
,,,,,,, -ndha,1,S,1,4,,,,
,,,,,,, -nganu,1,S,2,4,,,,
,,,,,,, -ngga,1,S,1,3,,,,
,,,,,,, -nggalu,1,S,2,5,,,,
,,,,,,, -nggu,1,S,1,3,,,,
,,,,,,, -nggu,1,S,1,3,,,,
,,,,,,, -nggu,1,S,1,3,,,,
,,,,,,, -nggula,1,S,2,5,,,,
,,,,,,, -ngu,1,S,1,2,,,,
,,,,,,, -nha,1,S,1,2,,,,
,,,,,,, -nha,1,S,1,2,,,,
,,,,,,, -nha,1,S,1,2,,,,
,,,,,,, -nhaa,1,S,1,2,,,,
,,,,,,, -nhii,1,S,1,2,,,,
,,,,,,, -nu,1,S,1,2,,,,
,,,,,,, -nu,1,S,1,2,,,,
,,,,,,, -nygu,1,S,1,3,,,,
,,,,,,, -nyida,1,S,2,4,,,,
,,,,,,, -nyinda,1,S,2,5,,,,
,,,,,,, -nyja,1,S,1,3,,,,
,,,,,,, -ra,1,S,1,2,,,,
,,,,,,, -rnda,1,S,1,3,,,,
,,,,,,, -tha,1,S,1,2,,,,
,,,,,,, -thada,1,S,2,4,,,,
,,,,,,, -wa,1,S,1,2,,,,
,,,,,,, -waa,1,S,1,2,,,,
,,,,,,, -wana,1,S,2,4,,,,
,,,,,,, -wu,1,S,1,2,,,,
,,,,,,, -yana,1,S,2,4,,,,
,,,,,,, -yu,1,S,1,2,,,,
Yakkha,Sino-Tibetan,ybh,Schackow (2015: 565-568),V (51),"ai, ui, oi, au ","ch, ph, th, kh, wh, mh, nh, ŋh, bh, dh, gh = monosegmental",,,,,,,,,
,,,,,,,a-,1,P,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -(n)a,2,S,1,1.5,,,,
,,,,,,, -ap,1,S,1,2,,,,
,,,,,,, -apt,1,S,1,3,,,,
,,,,,,,anciŋ-,1,P,2,5,,,,
,,,,,,,aniŋ-,1,P,2,4,,,,
,,,,,,, -bhes,1,S,1,3,,,,
,,,,,,," -bhoks, -bhoŋ",2,S,1,3.5,,,,
,,,,,,, -ca,1,S,1,2,,,,
,,,,,,, -ci(n),2,S,1,2.5,,,,
,,,,,,, -ci ,1,S,1,2,,,,
,,,,,,, -eba,1,S,2,3,,,,
,,,,,,,eN-,1,P,1,2,,,,
,,,,,,, -end,1,S,1,3,,,,
,,,,,,,enciŋ-,1,P,2,5,,,,
,,,,,,, -get,1,S,1,3,,,,
,,,,,,, -(g)het,2,S,1,3,,,,
,,,,,,, -ghond,1,S,1,4,,,,
,,,,,,," -haks, -nhaŋ",2,S,1,3.5,,,,
,,,,,,, -heks,1,S,1,4,,,,
,,,,,,, -(n)i,2,S,1,1.5,,,,
,,,,,,, -i(n),2,S,1,1.5,,,,
,,,,,,, -ka,1,S,1,2,,,,
,,,,,,, -kheʔ,1,S,1,4,,,,
,,,,,,, -khuba,1,S,2,4,,,,
,,,,,,, -khusa,1,S,2,4,,,,
,,,,,,, -les,1,S,1,3,,,,
,,,,,,, -lo,1,S,1,2,,,,
,,,,,,, -loʔa,1,S,2,4,,,,
,,,,,,, -m,1,S,0,1,,,,
,,,,,,, -ma,1,S,1,2,,,,
,,,,,,, -ma,1,S,1,2,,,,
,,,,,,, -ma,1,S,1,2,,,,
,,,,,,," -ma, -mi",2,S,1,2,,,,
,,,,,,," -masa, -misi",2,S,2,4,,,,
,,,,,,,meN-,1,P,1,3,,,,
,,,,,,,meN-…-le,1,O,2,5,,,,
,,,,,,, -met,1,S,1,3,,,,
,,,,,,, -meʔ,1,S,1,3,,,,
,,,,,,,N-,1,P,0,1,,,,
,,,,,,,N-,1,P,0,1,,,,
,,,,,,,N-,1,P,0,1,,,,
,,,,,,, -n,1,S,0,1,,,,
,,,,,,, -nen,1,S,1,3,,,,
,,,,,,, -nes,1,S,1,3,,,,
,,,,,,, -nhaŋto,1,S,2,5,,,,
,,,,,,, -ni,1,S,1,2,,,,
,,,,,,, -nin,1,S,1,3,,,,
,,,,,,,njiŋ-,1,P,1,4,,,,
,,,,,,,nniŋ-,1,P,1,4,,,,
,,,,,,, -ŋ(a),2,S,0.5,1.5,,,,
,,,,,,, -pa,1,S,1,2,,,,
,,,,,,, -paŋ,1,S,1,3,,,,
,,,,,,, -piʔ,1,S,1,3,,,,
,,,,,,, -raʔ,1,S,1,3,,,,
,,,,,,, -raʔ,1,S,1,3,,,,
,,,,,,, -ris,1,S,1,3,,,,
,,,,,,, -sa,1,S,1,2,,,,
,,,,,,, -saŋ,1,S,1,3,,,,
,,,,,,, -se,1,S,1,2,,,,
,,,,,,, -siʔ,1,S,1,3,,,,
,,,,,,, -siʔ,1,S,1,3,,,,
,,,,,,, -siʔ,1,S,1,3,,,,
,,,,,,, -soʔ,1,S,1,3,,,,
,,,,,,, -t,1,S,0,1,,,,
,,,,,,,u-,1,P,1,1,,,,
,,,,,,, -u,1,S,1,1,,,,
,,,,,,, -uks,1,S,1,3,,,,
,,,,,,," -uks, -nuŋ",2,S,1,3,,,,
,,,,,,," -uks, -nuŋ",2,S,1,3,,,,
,,,,,,," -uks, -uksa",2,S,1.5,3.5,,,,
,,,,,,, -ukt,1,S,1,3,,,,
,,,,,,,uŋci-,1,P,2,4,,,,
,,,,,,, -wa,1,S,1,2,,,,
Tagdal,Songhay,tda,Benítez-Torres (2021: xiv-xvi),"V (15) -- argument based on frequency, not structure",none mentioned,"tʃ, dʒ, ii, ee, aa, oo, uu = monosegmental",,,,,,,,,
,,,,,,,a-,1,P,1,1,,,,
,,,,,,," -an, -en, -wan, -tan",4,S,1,2.5,,,,
,,,,,,," -an, -nan",2,S,1,2.5,,,,
,,,,,,,b-,1,P,0,1,,,,
,,,,,,,ə-,1,P,1,1,,,,
,,,,,,,i-,1,P,1,1,,,,
,,,,,,, -kat,1,S,1,3,,,,
,,,,,,,m-,1,P,0,1,,,,
,,,,,,, -ma,1,S,1,2,,,,
,,,,,,, -nan,1,S,1,3,,,,
,,,,,,,nə-,1,P,1,2,,,,
,,,,,,,nəm-,1,P,1,3,,,,
,,,,,,, -nén,1,S,1,3,,,,
,,,,,,, -nen,1,S,1,3,,,,
,,,,,,,"s-, ʃ-, z-, ʒ-",4,P,0,1,,,,
,,,,,,,sə-,1,P,1,2,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,,tə-,1,P,1,2,,,,
,,,,,,,təw-,1,P,1,3,,,,
,,,,,,, -yen,1,S,1,3,,,,
Tohono O'odham,Uto-Aztecan,ood,Zepeda (1983: 158-160),"no information provided; assumption for our classification is that nasals and other Cs are not possible nuclei, but this should be stated explicitly since there are several orthographically nasal-only prefixes","ai, ei, oi, ui",none,,,,,,,,,
,,,,,,, -ad,1,S,1,2,,,,
,,,,,,, -'i,1,S,1,2,,,,
,,,,,,, -iñ,1,S,1,2,,,,
,,,,,,, -kud,1,S,1,3,,,,
,,,,,,, -ga,1,S,1,2,,,,
,,,,,,, -mad,1,S,1,3,,,,
,,,,,,, -pig,1,S,1,3,,,,
,,,,,,,ñ-,1,P,0,1,,,,
,,,,,,,m-,1,P,0,1,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,, 'em-,1,P,1,3,,,,
,,,,,,,ha-,1,P,1,2,,,,
,,,,,,,ñ-,1,P,0,1,,,,
,,,,,,,m-,1,P,0,1,,,,
,,,,,,, -ij,1,S,1,2,,,,
,,,,,,, -j,1,S,1,1,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,, 'em-,1,P,1,3,,,,
,,,,,,,ha-,1,P,1,2,,,,
,,,,,,,ñ-,1,P,0,1,,,,
,,,,,,,m-,1,P,0,1,,,,
,,,,,,,ha-,1,P,1,2,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,, 'em-,1,P,1,3,,,,
,,,,,,,ha-,1,P,1,2,,,,
,,,,,,,ñ-,1,P,0,1,,,,
,,,,,,, 'e-,1,P,1,2,,,,
,,,,,,, 'e-,1,P,1,2,,,,
,,,,,,,t-,1,P,0,1,,,,
,,,,,,, 'e-,1,P,1,2,,,,
,,,,,,, 'e-,1,P,1,2,,,,
