Language,Family,ISO 639-3,Reference,Nucleus,Diphthongs,Relevant spelling conventions,Affixes,Allomorphs,Type,Syllables,Segments,,,,
,,,,,,, -ina,1,S,2,3,,,,
,,,,,,,ko-,1,P,1,2,,,,
,,,,,,, -ku,1,S,1,2,,,,
,,,,,,,la-,1,P,1,2,,,,
,,,,,,,ma-,1,P,1,2,,,,
,,,,,,, -na,1,S,1,2,,,,
,,,,,,, -na,1,S,1,2,,,,
,,,,,,, -nga,1,S,1,2,,,,
,,,,,,, -nga,1,S,1,2,,,,
,,,,,,,okho-,1,P,2,3,,,,
,,,,,,,pa-,1,P,1,2,,,,
,,,,,,,taki-,1,P,2,4,,,,
,,,,,,,tatuko-,1,P,3,6,,,,
,,,,,,,tau-,1,P,2,3,,,,
,,,,,,,toko-,1,P,2,4,,,,
,,,,,,, -u,1,S,1,1,,,,
,,,,,,,va-,1,P,1,2,,,,
,,,,,,,"va-, ve-",2,P,1,2,,,,
Gooniyandi,Bunaban,gni,McGregor (1990: 603-606),V (90-93) -- indirect evidence: no mention of syllables w/o V,none (37),"aa, oo, dd, rd, rn, rl, th, nh, ny, ly, ng = monosegmental",,,,,,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -addi,1,S,2,3,,,,
,,,,,,, -ani,1,S,2,3,,,,
,,,,,,, -arni,1,S,2,3,,,,
,,,,,,, -arni,1,S,2,3,,,,
,,,,,,, -badi,1,S,2,4,,,,
,,,,,,, -ban,1,S,1,3,,,,
,,,,,,, -bari,1,S,2,4,,,,
,,,,,,,bi-,1,P,1,2,,,,
,,,,,,,bi-,1,P,1,2,,,,
,,,,,,," -bi, -bili",2,S,1.5,3,,,,
,,,,,,,bidd-,1,P,1,3,,,,
,,,,,,,bidd-,1,P,1,3,,,,
,,,,,,,bin-,1,P,1,3,,,,
,,,,,,, -bindi,1,S,2,5,,,,
,,,,,,, -(b)ini,2,S,2,3.5,,,,
,,,,,,, -binyi,1,S,2,4,,,,
,,,,,,, -birli,1,S,2,5,,,,
,,,,,,, -(b)oo,2,S,1,2.5,,,,
,,,,,,," -da, -di",2,S,1,1,,,,
,,,,,,, -gali,1,S,2,2,,,,
,,,,,,, -gi,1,S,1,1,,,,
,,,,,,, -i,1,S,1,1,,,,
,,,,,,,iny-,1,P,1,2,,,,
,,,,,,,jadd-,1,P,1,3,,,,
,,,,,,,jan-,1,P,1,3,,,,
,,,,,,,ji-,1,P,1,2,,,,
,,,,,,,jidd-,1,P,1,3,,,,
,,,,,,,jin-,1,P,1,3,,,,
,,,,,,, -jinga,1,S,2,4,,,,
,,,,,,," -langi, -langoo",2,S,2,4,,,,
,,,,,,,li-,1,P,1,2,,,,
,,,,,,, -ma,1,S,1,2,,,,
,,,,,,, -marni,1,S,2,4,,,,
,,,,,,, -mawoo,1,S,2,4,,,,
,,,,,,, -mi,1,S,1,2,,,,
,,,,,,, -mi,1,S,1,2,,,,
,,,,,,, -mili,1,S,2,4,,,,
,,,,,,,ng-,1,P,0,1,,,,
,,,,,,, -ngaddi,1,S,2,4,,,,
,,,,,,, -ngarna,1,S,2,4,,,,
,,,,,,,ngg-,1,P,0,2,,,,
,,,,,,, -ngga,1,S,1,3,,,,
,,,,,,,nggi-,1,P,1,3,,,,
,,,,,,,nggidd-,1,P,1,4,,,,
,,,,,,,nggin-,1,P,1,4,,,,
,,,,,,,ngim-,1,P,1,3,,,,
,,,,,,,ngin-,1,P,1,3,,,,
,,,,,,, -nhingi,1,S,2,4,,,,
,,,,,,,ri-,1,P,1,2,,,,
,,,,,,,ri-,1,P,1,2,,,,
,,,,,,, -wa,1,S,1,2,,,,
,,,,,,, -wa,1,S,1,2,,,,
,,,,,,, -wadda,1,S,2,4,,,,
,,,,,,, -waddawadda,1,S,4,8,,,,
,,,,,,, -waddi,1,S,2,4,,,,
,,,,,,, -(w)ali,2,S,2,3.5,,,,
,,,,,,, -wanggoo,1,S,2,5,,,,
,,,,,,, -wanya,1,S,2,4,,,,
,,,,,,, -warni,1,S,2,4,,,,
,,,,,,, -warnoo,1,S,2,4,,,,
,,,,,,,wi-,1,P,1,2,,,,
,,,,,,,wi-,1,P,1,2,,,,
,,,,,,, -winya,1,S,2,4,,,,
,,,,,,, -woo,1,S,1,2,,,,
,,,,,,, -ya,1,S,1,2,,,,
,,,,,,, -yali,1,S,2,4,,,,
,,,,,,, -yangga,1,S,2,5,,,,
,,,,,,, -yarndi,1,S,2,5,,,,
,,,,,,, -yawoo,1,S,2,4,,,,
,,,,,,, -yayi,1,S,2,4,,,,
,,,,,,, -yayoo,1,S,2,4,,,,
,,,,,,,yi-,1,P,1,2,,,,
,,,,,,, -yidda,1,S,2,4,,,,
,,,,,,, -yiddi,1,S,2,4,,,,
,,,,,,, -yila,1,S,2,4,,,,
,,,,,,, -yoo,1,S,1,2,,,,
,,,,,,, -yooddoo,1,S,2,4,,,,
Tipai,Cochimi-Yuman,dih,Miller (2001: 373-376),"V (5), N (14) - /m/ only syllabic following stress; hence, a suffix /m/ may be syllabic, but a prefix /m/ may not; syllabic /n/ is only found in kinship terms; assuming that kinship terms do not include affixes, an affix of shape /n/ is not syllabic","ay, aay, aw, aaw, iw, iiw, uy, uuy (24)","tt, ll, ny, ch, sh, lly, ly, kw, xw, apostrophe, ii, uu, aa = monosegmental; y = /j/ (42)",,,,,,,,,
,,,,,,,a-,1,P,1,1,,,,
,,,,,,,a-,1,P,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,, -a,1,S,1,1,,,,
,,,,,,,a'-,1,P,1,2,,,,
,,,,,,,aa-,1,P,1,1,,,,
,,,,,,,aa-,1,P,1,1,,,,
,,,,,,,aa-,1,P,1,1,,,,
,,,,,,,ch-,1,P,0,1,,,,
,,,,,,,ch-,1,P,0,1,,,,
,,,,,,,"ch-, t-",2,P,0,1,,,,
,,,,,,,ch-,1,P,0,1,,,,
,,,,,,, -ch,1,S,0,1,,,,
,,,,,,, -ch,1,S,0,1,,,,
,,,,,,, -ch,1,S,0,1,,,,
,,,,,,, -ch,1,S,0,1,,,,
,,,,,,,ii-,1,P,1,1,,,,
,,,,,,,k-,1,P,0,1,,,,
,,,,,,,k-,1,P,0,1,,,,
,,,,,,,k-,1,P,0,1,,,,
,,,,,,,k-,1,P,0,1,,,,
,,,,,,, -k,1,S,0,1,,,,
,,,,,,,kw-,1,P,0,1,,,,
,,,,,,,kw-,1,P,0,1,,,,
,,,,,,,kw-,1,P,0,1,,,,
,,,,,,,kw-,1,P,0,1,,,,
,,,,,,,l-,1,P,0,1,,,,
,,,,,,,l-,1,P,0,1,,,,
,,,,,,,ll-,1,P,0,1,,,,
,,,,,,,ly-,1,P,0,1,,,,
,,,,,,,lly-,1,P,0,1,,,,
,,,,,,,lly-,1,P,0,1,,,,
,,,,,,,m-,1,P,0,1,,,,
,,,,,,,m-,1,P,0,1,,,,
,,,,,,,m-,1,P,0,1,,,,
,,,,,,,m-,1,P,0,1,,,,
,,,,,,, -m ,1,S,0.5,1,,,,
,,,,,,,"mat-, maat",2,P,1,3,,,,
,,,,,,,maa-,1,P,1,2,,,,
,,,,,,,n-,1,P,0,1,,,,
,,,,,,,n-,1,P,0,1,,,,
,,,,,,,n-,1,P,0,1,,,,
,,,,,,,ny-,1,P,0,1,,,,
,,,,,,,ny-,1,P,0,1,,,,
,,,,,,,ny-,1,P,0,1,,,,
,,,,,,,ny-,1,P,0,1,,,,
,,,,,,,ny…'- ,1,P,0,2,,,,
,,,,,,, -ny ,1,S,0,1,,,,
,,,,,,,nya-,1,P,1,2,,,,
,,,,,,,nya-,1,P,1,2,,,,
,,,,,,,nya-,1,P,1,2,,,,
,,,,,,,nyek…'-,1,P,1,4,,,,
,,,,,,,nyem-,1,P,1,3,,,,
,,,,,,,p-,1,P,0,1,,,,
,,,,,,, -p,1,S,0,1,,,,
,,,,,,, -p,1,S,0,1,,,,
